"subject","version","assignmentId","guess1","guess2","guess3","cc1","cc2","cc3","cc4","cc1pass","cc2pass","cc3pass","cc4pass","experienced","instructions_time","total_time","stamp","id"
"A2WOU3CII8ER24","caus_thomas_fire_v6","3RYC5T2D73UYLAXWX8HMI9SRDH9RPN","0","0","0","50%","100%","10%","English","1","1","1","1","No","45879","71399","2017-10-17 13:58:22","3563"
"AS8BGRD5QFUTQ","caus_thomas_fire_v6","3R08VXYT7CWEN0AI0GXB5M9N52IW7O","0","0","0","50%","100%","10%","English","1","1","1","1","No","69415","105661","2017-10-17 13:58:29","3564"
"A2GF7PYHT21U3X","caus_thomas_fire_v6","3Z4XG4ZF48SXCEKRKQL3L5JPPOUX85","0","0","0","50%","50%","90%","Math","1","0","1","1","No","18736","35094","2017-10-17 13:58:34","3565"
"AJ9N1D8B96693","caus_thomas_fire_v6","3RGU30DZTA9B2JH6XNGLZEC5YV4MJU","0","0","0","50%","100%","10%","English","1","1","1","1","No","60768","92532","2017-10-17 13:58:37","3566"
"A3L4RJUHA0CJEA","caus_thomas_fire_v6","39K0FND3AHG01QE23H386F9M88AMAE","0","0","0","50%","100%","10%","Math","1","1","1","1","No","77798","112218","2017-10-17 13:58:40","3567"
"A5ET25WTBJC0J","caus_thomas_fire_v6","3MTMREQS4VJW628G7J9VFDBD6AOWAF","0","0","0","50%","100%","10%","English","1","1","1","1","No","56872","97657","2017-10-17 13:58:46","3568"
"A2QX2B50DM45E2","caus_thomas_fire_v6","3D8YOU6S9ELIRW78M6DIHKOUPBO6U1","0","0","0","50%","100%","90%","English","1","1","1","1","No","65102","104931","2017-10-17 13:58:46","3569"
"AI9NJ89EXVDY1","caus_thomas_fire_v6","3BQU611VFPL7PNL3M2L35YSI2RM99O","0","0","0","50%","100%","10%","Math","1","1","1","1","No","52033","85469","2017-10-17 13:58:55","3570"
"A3UDXVVGJ88LS2","caus_thomas_fire_v6","34V1S5K3GS2K74J5OVIRLO1GCQE69A","0","0","0","50%","100%","10%","English","1","1","1","1","Yes","76298","141725","2017-10-17 13:58:57","3571"
"A1PKCBFB4QY19G","caus_thomas_fire_v6","3KOPY89HM83AGX9WR5B63F3ZY4O3JW","0","0","0","50%","100%","10%","English","1","1","1","1","Yes","49315","82237","2017-10-17 13:59:00","3572"
"A2VRDE2FHCBMF8","caus_thomas_fire_v6","3NQL1CS15R9KNV6EXFIFWXA62SPYVH","0","0","0","50%","100%","10%","English","1","1","1","1","No","86733","126232","2017-10-17 13:59:01","3573"
"A2IGPW784OFV3D","caus_thomas_fire_v6","3EO896NRAWWFFE7Q6KHXLS7XS30TJ2","0","0","0","50%","100%","90%","Math","1","1","1","1","No","84014","146863","2017-10-17 13:59:03","3574"
"A7BJQT4AKDHAO","caus_thomas_fire_v6","345LHZDEDXTJUDKQ34FKAHCAFKLU3I","0","0","0","50%","100%","90%","Math","1","1","1","1","No","55844","105397","2017-10-17 13:59:05","3575"
"A3UQXYJ8EV62WE","caus_thomas_fire_v6","31JLPPHS2UVOH80T7I3BBBKLXYY3OF","0","0","0","50%","100%","90%","Math","1","1","1","1","No","93660","131839","2017-10-17 13:59:06","3576"
"A63QNYB26OEZN","caus_thomas_fire_v6","3HVVDCPGTET5A32PSKI0VFML579TYW","0","0","0","25%","100%","90%","Math","0","1","1","1","No","97792","144854","2017-10-17 13:59:08","3577"
"A3D6DQGF78M17W","caus_thomas_fire_v6","33C7UALJVLZPMDZYDX0WQWFOK9G18I","0","0","0","50%","100%","90%","English","1","1","1","1","Not sure","85615","161198","2017-10-17 13:59:12","3578"
"A3S7I1TRSRWO73","caus_thomas_fire_v6","3TR2532VIPV9DGWEA794AIFJ8VQ6J5","0","0","0","50%","25%","100%","Math","1","0","0","1","No","72107","135630","2017-10-17 13:59:16","3579"
"AM3QYFU2FGENQ","caus_thomas_fire_v6","3018Q3ZVOIRRY6RU8PZPSE3WEV9RA7","0","0","0","50%","100%","90%","English","1","1","1","1","No","88669","149826","2017-10-17 13:59:16","3580"
"A1LB9JOMFQ1UMG","caus_thomas_fire_v6","3IRIK4HM3ALM52Q80FSINE2OIBH6CR","0","0","0","50%","100%","90%","Math","1","1","1","1","Not sure","30731","77746","2017-10-17 13:59:16","3581"
"AK9XE112RZO6Q","caus_thomas_fire_v6","3KXIR214I4HVSXUSKYAXE39OATY24T","0","0","0","50%","100%","90%","English","1","1","1","1","No","31799","68367","2017-10-17 13:59:20","3582"
"A1HSIZDCB5ERWT","caus_thomas_fire_v6","3KV0LJBBH2MS070J5SPU15YW8CYMRM","0","0","0","50%","100%","90%","Math","1","1","1","1","No","77735","138327","2017-10-17 13:59:21","3583"
"A2LGSV2MKHWA49","caus_thomas_fire_v6","3ZWFC4W1UU8MUX82J5LH6FENBBMRFK","0","0","0","50%","100%","10%","English","1","1","1","1","Not sure","107953","144853","2017-10-17 13:59:30","3584"
"A2KFZY7OYDJVF2","caus_thomas_fire_v6","3PWWM24LHSZWBYHUW10AVFPTCFU280","0","0","0","50%","100%","10%","Math","1","1","1","1","No","31630","65823","2017-10-17 13:59:33","3585"
"A26SF9CTNKKBYB","caus_thomas_fire_v6","33SA9F9TRXVZWFPSNOBHBW14RPMWEA","0","0","0","50%","100%","10%","Math","1","1","1","1","No","63645","109302","2017-10-17 13:59:34","3586"
"A3Q1EZDNIUK41P","caus_thomas_fire_v6","38YMOXR4MU0VJ0WDH6SJZ89RARZ6W0","0","0","0","50%","100%","90%","Math","1","1","1","1","No","86425","130749","2017-10-17 13:59:37","3587"
"A25N0K40JAZTN1","caus_thomas_fire_v6","3R9WASFE2ZHVWOUTTMFUSIGMKS5ZFL","0","0","0","50%","100%","90%","English","1","1","1","1","No","79067","125142","2017-10-17 13:59:37","3588"
"A2WYEOT1O3OXPS","caus_thomas_fire_v6","3TYCR1GOTCKHWG4PFXISNVL6HORZLQ","0","0","0","50%","100%","90%","Math","1","1","1","1","No","60357","97695","2017-10-17 13:59:39","3589"
"A3AIUG6ILEEBI7","caus_thomas_fire_v6","30BUDKLTXDW5JWA8RNO8LWOR7SJ5E3","0","0","0","50%","100%","10%","Math","1","1","1","1","Not sure","46117","77722","2017-10-17 13:59:39","3590"
"A0657006AJFWB5ZA91B2","caus_thomas_fire_v6","39KFRKBFINWPXBXHW3W115GY6ZSYOF","0","0","0","50%","100%","90%","Math","1","1","1","1","Not sure","88091","142045","2017-10-17 13:59:42","3591"
"A31ZMKF1XY6SFF","caus_thomas_fire_v6","3PDJHANYK5HDMA1OM76JY5Z4V3LH6A","0","0","0","50%","100%","10%","Math","1","1","1","1","No","63409","106421","2017-10-17 13:59:46","3592"
"A1HOEA3Y6W3FPZ","caus_thomas_fire_v6","3ERMJ6L4DYTIIOG4WEROWO7W7057M9","0","0","0","50%","100%","10%","Math","1","1","1","1","No","84471","113085","2017-10-17 13:59:50","3593"
"A1J21DM2Z753X4","caus_thomas_fire_v6","3BV8HQ2ZZW2YCNTAG1WRHJC0I8WA6T","0","0","0","50%","100%","10%","Math","1","1","1","1","No","65152","101592","2017-10-17 14:00:09","3594"
"A3R0V7F5LPVVAH","caus_thomas_fire_v6","3OWEPKL089DO06148F6O93WWCQF7N9","0","0","0","50%","100%","90%","Math","1","1","1","1","No","74584","142546","2017-10-17 14:00:09","3595"
"AQ5KOKZQSZU0B","caus_thomas_fire_v6","3LOZAJ85YDEMQZI249C2BE6M3O32X8","0","0","0","50%","100%","10%","English","1","1","1","1","No","54307","101213","2017-10-17 14:00:10","3596"
"A2TZRIS9XFZ18U
A2TZRIS9XFZ18U","caus_thomas_fire_v6","35DR22AR5DLBBHEL89Q7UOBE9233XK","0","0","0","50%","100%","10%","Math","1","1","1","1","No","104045","149389","2017-10-17 14:00:11","3597"
"A13T1T1VPOCMD3","caus_thomas_fire_v6","3XUHV3NRVKZH361AHOWE6ZL4Z8B5HJ","0","0","0","50%","100%","90%","English","1","1","1","1","No","39068","75585","2017-10-17 14:00:12","3598"
"A1KRNEYC4GNNCA","caus_thomas_fire_v6","30IQTZXKAK7FUPFOPM8OSQD76QIX0I","0","0","0","50%","100%","90%","Math","1","1","1","1","No","92129","136904","2017-10-17 14:00:23","3599"
"AJCHSQEDGHIMQ","caus_thomas_fire_v6","3A4TN5196KJ22RAPWYJMK5RERPXCHY","0","0","0","25%","100%","90%","Math","0","1","1","1","No","58016","104594","2017-10-17 14:00:30","3600"
"A2YAZATN6OGRDR","caus_thomas_fire_v6","3Z7VU45IPYI4690LMN093GCSJIN1ZN","0","0","0","50%","100%","90%","Math","1","1","1","0","No","72253","126917","2017-10-17 14:00:31","3601"
"A1ZD8RU6YB0VEU","caus_thomas_fire_v6","3LYA37P8IQOAUCJROJQOMD1O1L1KB3","0","0","0","50%","100%","90%","English","1","1","1","1","No","56212","97942","2017-10-17 14:00:33","3602"
"A1UZTQPGT1XHYF
","caus_thomas_fire_v6","3Z4AIRP3C6EF1E06L5CO6VWHBIP1XQ","0","0","0","50%","50%","100%","English","1","0","0","0","No","89859","157208","2017-10-17 14:00:36","3603"
"AZEGZ5ZVM6P5A","caus_thomas_fire_v6","3F6KKYWMNB24HF2EZS9A9V6SY1IDN8","0","0","0","50%","100%","90%","Math","1","1","1","1","No","30019","53597","2017-10-17 14:00:42","3604"
"A18IOD8JQLSIQ2","caus_thomas_fire_v6","38JBBYETQOBNND68DI5YG4ID7WO4EX","0","0","0","50%","100%","90%","English","1","1","1","1","No","100494","157804","2017-10-17 14:00:43","3605"
"A3HTLXAPOBCVVO","caus_thomas_fire_v6","32SCWG5HIH55ZRZC5KEO7E1VHUW6P5","0","0","0","50%","100%","90%","English","1","1","1","1","Yes","161420","225797","2017-10-17 14:00:45","3606"
"A30WRV40L5NFYS","caus_thomas_fire_v6","3J88R45B2GZII6J867NE7REFEYUXPP","0","0","0","50%","100%","10%","Math","1","1","1","1","No","40270","75978","2017-10-17 14:00:49","3607"
"A173E26N947Q7A","caus_thomas_fire_v6","3TPWUS5F892KZH5ERX5ML8116DACWY","0","0","0","100%","100%","90%","Math","0","1","1","1","No","58038","86440","2017-10-17 14:00:49","3608"
"A3S1YTO9FEKQUV","caus_thomas_fire_v6","32VNZTT0A75CWHBDZOPYFBHWMLE4RA","0","0","0","50%","100%","90%","Math","1","1","1","1","No","115471","179370","2017-10-17 14:00:58","3609"
"A3J9JCSAZJIRXI","caus_thomas_fire_v6","3YT88D1N08Z5RHFE9QBI4U3CDTO3KV","0","0","0","25%","100%","90%","Math","0","1","1","1","No","43398","146959","2017-10-17 14:00:58","3610"
"A1AUT20SM6AI4Y","caus_thomas_fire_v6","3B837J3LDOXVY2DOPPLGDEX201HSR5","0","0","0","50%","100%","10%","Math","1","1","1","1","Not sure","55601","97992","2017-10-17 14:00:59","3611"
"A2ZTXC0WB8DPJP","caus_thomas_fire_v6","3KGTPGBS6XMU9VO7Z41FR77I96M2UG","0","0","0","50%","100%","50%","Math","1","1","0","1","No","86650","162875","2017-10-17 14:01:00","3612"
"A2V4PRG5UBNIX0","caus_thomas_fire_v6","345LHZDEDXTJUDKQ34FKAHCAFKM3US","0","0","0","50%","100%","10%","Math","1","1","1","1","No","68955","118911","2017-10-17 14:01:03","3613"
"A1SVQ3U72FDUFY","caus_thomas_fire_v6","3X3OR7WPZZ12CK3267IFABO2IFL8LV","0","0","0","50%","100%","10%","Math","1","1","1","1","No","92216","136539","2017-10-17 14:01:06","3614"
"A241PV6A122I5X","caus_thomas_fire_v6","351SEKWQS0IYZXHENRUAWGHSTB8DM8","0","0","0","50%","100%","90%","English","1","1","1","1","No","49458","77050","2017-10-17 14:01:06","3615"
"A3OEFJ2GS3VPVT","caus_thomas_fire_v6","3E337GFOL997TZC51IAIFG9PBTYNGS","0","0","0","50%","100%","90%","English","1","1","1","1","No","47499","86297","2017-10-17 14:01:08","3616"
"AA4O2W236E3FW","caus_thomas_fire_v6","3K3R2QNK8B459F96KDGU1UFWFCW9UF","0","0","0","50%","100%","10%","Math","1","1","1","1","No","116356","202708","2017-10-17 14:01:11","3617"
"AAQREZOK13OV7","caus_thomas_fire_v6","3X4JMASXCMA8HMCNKQG63TMFNNVB0O","0","0","0","50%","100%","10%","English","1","1","1","1","No","94530","117063","2017-10-17 14:01:11","3618"
"AR4UI9K92BUT3","caus_thomas_fire_v6","3L4PIM1GQTHSUOPXOVD5V0L3HMCRYH","0","0","0","50%","100%","90%","English","1","1","1","1","No","79423","164540","2017-10-17 14:01:17","3619"
"AK7QYK3WKTWWZ","caus_thomas_fire_v6","3PM8NZGV8YH3IIKN6K237W4PJUGXQG","0","0","0","50%","100%","10%","Math","1","1","1","1","No","100653","141189","2017-10-17 14:01:21","3620"
"A1JCKICNOC7DAB","caus_thomas_fire_v6","3MX2NQ3YC9VEPW1PMSE09L9YNYU5XC","0","0","0","50%","100%","10%","Math","1","1","1","1","No","74484","133566","2017-10-17 14:01:25","3621"
"A367GMQ1MK9N0B","caus_thomas_fire_v6","36TFCYNS44BQ5PLKNUF9YICOS7KXHK","0","0","0","50%","100%","10%","Math","1","1","1","1","No","79340","182867","2017-10-17 14:01:26","3622"
"A1R0689JPSQ3OF","caus_thomas_fire_v6","3RJSC4XJ10V6S6VEJGPT07MNDR905C","0","0","0","50%","100%","10%","English","1","1","1","1","No","77219","125885","2017-10-17 14:01:28","3623"
"A2RR04JS69Z5LE
","caus_thomas_fire_v6","3SKEMFQBZ36RSELKL76EVBBNTFGK84","0","0","0","50%","100%","90%","Math","1","1","1","1","No","51839","80909","2017-10-17 14:01:32","3624"
"ALOX6TS3BTQ7W","caus_thomas_fire_v6","338JKRMM260E9CDRCKNVEA1QRMCAHU","0","0","0","50%","100%","90%","Math","1","1","1","1","No","85622","140580","2017-10-17 14:01:35","3625"
"A3C2J2DZDXKV34","caus_thomas_fire_v6","3TXMY6UCAEPFFK9SFO6GTJJFICTQC8","0","0","0","50%","100%","10%","English","1","1","1","1","No","79613","129282","2017-10-17 14:01:41","3626"
"AOSO1D81K0ET0","caus_thomas_fire_v6","3N4BPTXIO8TPQBSXOA7JR3TCQ68KUK","0","0","0","50%","100%","90%","English","1","1","1","1","Yes","87448","137209","2017-10-17 14:01:46","3627"
"A25VHX1PUAHR4T","caus_thomas_fire_v6","3ZAZR5XV01JOTCAJ2KPTKCVJNFDZCA","0","0","0","100%","100%","90%","Math","0","1","1","1","Not sure","153495","259863","2017-10-17 14:01:48","3628"
"A3QN9B9ZS1CWWM","caus_thomas_fire_v6","3G5F9DBFOPYY10GPNFERAXF3CWDVHG","0","0","0","50%","100%","10%","Math","1","1","1","1","No","77911","125536","2017-10-17 14:01:49","3629"
"A2UKCO1M1MEMZW","caus_thomas_fire_v6","39O5D9O87TTN8J3QHDUKGBQ48KFC3R","0","0","0","50%","100%","90%","Math","1","1","1","1","Not sure","120485","197559","2017-10-17 14:01:51","3630"
"A1V8MSGK7CVD8B","caus_thomas_fire_v6","3YOH7BII098P3QHXT0HONPVV4DHVKK","0","0","0","50%","100%","10%","English","1","1","1","1","Yes","88406","134232","2017-10-17 14:01:57","3631"
"A1PBRKFHSF1OF8","caus_thomas_fire_v6","3D3VGR7TA0GRELS9ZAKF56PQ8LIR3C","0","0","0","50%","100%","100%","Math","1","1","0","1","No","34765","74013","2017-10-17 14:02:02","3632"
"A389LTO1Q8DAKN","caus_thomas_fire_v6","3JWH6J9I9SEB2I4ULWI4E5ISVG6BNZ","0","0","0","50%","100%","10%","English","1","1","1","1","No","122057","158646","2017-10-17 14:02:19","3633"
"A28QK3JT9YQ1XU","caus_thomas_fire_v6","3DUZQ9U6SMPNR9U5Y9QQEBM5L7UVS1","0","0","0","50%","25%","10%","English","1","0","1","1","No","68811","103854","2017-10-17 14:02:27","3634"
"AJRY9ALX8069Y","caus_thomas_fire_v6","3KGTPGBS6XMU9VO7Z41FR77I96LU27","0","0","0","50%","100%","10%","Math","1","1","1","1","No","91468","125306","2017-10-17 14:02:31","3635"
"A21P1T8EW4NHOU","caus_thomas_fire_v6","3IHR8NYAM72RK4VYMWL9AGHHL3PP42","0","0","0","50%","100%","10%","Math","1","1","1","1","No","56585","91538","2017-10-17 14:02:36","3636"
"A35P8YSNTQ7OTP","caus_thomas_fire_v6","31QTRG6Q2TE7IB9IB39GQ5LOG4PYPX","0","0","0","50%","100%","90%","Math","1","1","1","1","Yes","80184","119030","2017-10-17 14:02:46","3637"
"A3NUYAG56BPYBB","caus_thomas_fire_v6","3QRYMNZ7FYIBY4YBLI9PEZOE1N5TN6","0","0","0","50%","100%","10%","Math","1","1","1","1","No","66572","104928","2017-10-17 14:02:50","3638"
"AY7WPVKHVNBLG","caus_thomas_fire_v6","3JRJSWSMQHM25HN4D40F6ZQ7TWSE3M","0","0","0","50%","100%","10%","English","1","1","1","1","No","81582","120959","2017-10-17 14:02:50","3639"
"A3M3WWNSQZN6QK","caus_thomas_fire_v6","3TDXMTX3CBVDI5C8SPO4YH0JVG1I65","0","0","0","50%","100%","10%","English","1","1","1","1","No","136835","199886","2017-10-17 14:02:59","3640"
"A2OHGSJXE6X2MT","caus_thomas_fire_v6","39O5D9O87TTN8J3QHDUKGBQ48KF3CI","0","0","0","50%","100%","10%","Math","1","1","1","1","No","136217","244376","2017-10-17 14:02:59","3641"
" AEH6O45O7QKVP","caus_thomas_fire_v6","3SB5N7Y3O35483KY0C8K44DC30NG0A","0","0","0","100%","100%","10%","Math","0","1","1","1","No","105368","160274","2017-10-17 14:03:03","3642"
"A2HTN7HCNBQ8V4","caus_thomas_fire_v6","3EWIJTFFVO86OPO7UHIW41S0QK8E0R","0","0","0","50%","100%","10%","English","1","1","1","0","No","103766","154439","2017-10-17 14:03:06","3643"
"A33ZB4QX4Y96WN","caus_thomas_fire_v6","3TXWC2NHNZRPU2H2V8LUMTX8UFBS9I","0","0","0","50%","50%","10%","Math","1","0","0","1","Not sure","18334","37352","2017-10-17 14:03:07","3644"
"A3OTWE5F9F6NEK
","caus_thomas_fire_v6","3EJJQNKU9R668TZ8EV9H90Q0RQ0RHJ","0","0","0","50%","100%","10%","English","1","1","1","1","No","59151","108484","2017-10-17 14:03:15","3645"
"ADHWRZIW3GIVU","caus_thomas_fire_v6","34V1S5K3GS2K74J5OVIRLO1GCQE96D","0","0","0","50%","100%","90%","Math","1","1","1","1","Not sure","160215","340793","2017-10-17 14:03:21","3646"
"A1F79H8MQ13RI0 ","caus_thomas_fire_v6","3WYP994K17SZ85RDW7A7K5U7LZZY6R","0","0","0","50%","100%","90%","English","1","1","1","1","No","122823","183259","2017-10-17 14:03:23","3647"
"AQIHP9D5DG5J","caus_thomas_fire_v6","39U1BHVTDLS4U0513ZPA5LQ8W6G3T2","0","0","0","50%","100%","90%","English","1","1","1","1","No","36510","62471","2017-10-17 14:03:26","3648"
"A3TMQ9HAX6LIEM","caus_thomas_fire_v6","3NQL1CS15R9KNV6EXFIFWXA62SQYVI","0","0","0","50%","100%","90%","English","1","1","1","1","No","79583","135044","2017-10-17 14:03:28","3649"
"A1DUPOUC9RNU4L","caus_thomas_fire_v6","31EUONYN2V48TH2CRS9HU6C4OIROVX","0","0","0","50%","100%","10%","English","1","1","1","1","No","64900","115528","2017-10-17 14:03:28","3650"
"A3O2JUIF4DZQJU","caus_thomas_fire_v6","32VNZTT0A75CWHBDZOPYFBHWMLER4X","0","0","0","50%","100%","90%","Math","1","1","1","1","Not sure","81814","175845","2017-10-17 14:03:39","3651"
"A2DC7EBSBUVUQ","caus_thomas_fire_v6","3H7XDTSHKCSXGTLJTJ15BZMG452GWC","0","0","0","50%","100%","100%","Math","1","1","0","1","No","73008","124730","2017-10-17 14:03:40","3652"
"A1NSWJKFJIZ06J","caus_thomas_fire_v6","31QTRG6Q2TE7IB9IB39GQ5LOG4OYPW","0","0","0","100%","100%","10%","English","0","1","1","1","No","52474","91903","2017-10-17 14:03:44","3653"
"A12YGHUPJN155L","caus_thomas_fire_v6","3570Y55XZPK15YGJ8KJTWW7WFD2GYB","0","0","0","50%","100%","10%","Math","1","1","1","1","No","102847","169779","2017-10-17 14:04:04","3654"
"A2DA5SD0IQEPBI
","caus_thomas_fire_v6","3483FV8BEEK97KY63M3CB1T26K526F","0","0","0","50%","100%","90%","Math","1","1","1","1","No","58997","86857","2017-10-17 14:04:07","3655"
"A3AW92ZT3WY05A","caus_thomas_fire_v6","33SA9F9TRXVZWFPSNOBHBW14RPOEWU","0","0","0","50%","100%","10%","English","1","1","1","0","No","51518","90894","2017-10-17 14:04:15","3656"
"A3L3LUTEQPJN86","caus_thomas_fire_v6","3URFVVM165JKF6RJOBATEIHPUFKZUK","0","0","0","50%","100%","90%","Math","1","1","1","1","Yes","84000","130067","2017-10-17 14:04:16","3657"
"A3HSQFNT76K5TF","caus_thomas_fire_v6","3UN61F00HWQUS0FDDT88K3NAMH8R51","0","0","0","50%","100%","90%","Math","1","1","1","1","No","51418","152770","2017-10-17 14:04:18","3658"
"A2OXE5D9A7KSGW","caus_thomas_fire_v6","3M0NZ3JDP1Z3UR14NA2L66P9VYSZ53","0","0","0","50%","100%","90%","Math","1","1","1","1","No","93490","137422","2017-10-17 14:04:18","3659"
"A1MHKBAGZN1P8K","caus_thomas_fire_v6","3JAOYWH7VI52QPMCBZOTA7JD2L49LM","0","0","0","50%","100%","90%","Math","1","1","1","1","No","59310","113318","2017-10-17 14:04:20","3660"
"AW5O1RK3W60FC","caus_thomas_fire_v6","3WJ1OXY92AHLG1CY9GTP1X8RO3MA8F","0","0","0","50%","25%","90%","English","1","0","1","1","No","175326","328037","2017-10-17 14:04:22","3661"
"A221L64A30LW7Z","caus_thomas_fire_v6","3MD9PLUKKIF7KG7ARAY70NPVMJSZNT","0","0","0","50%","100%","10%","English","1","1","1","1","No","73058","107014","2017-10-17 14:04:23","3662"
"A2XKRQ2IM5XS9A","caus_thomas_fire_v6","3QY5DC2MXRLEAP0JNZGMBQ17IARUFS","0","0","0","100%","100%","90%","Math","0","1","1","1","No","67631","120145","2017-10-17 14:04:24","3663"
"A1NJ0J3SCP668A","caus_thomas_fire_v6","3GNCZX450IO6MTBFVXV0NJ3HDDMPAE","0","0","0","50%","100%","90%","English","1","1","1","1","No","96925","150164","2017-10-17 14:04:26","3664"
"A1QUBLZCONL4QD","caus_thomas_fire_v6","35K3O9HUABEXLT3XXZ1H78F4WMXFEW","0","0","0","25%","100%","10%","English","0","1","0","0","No","53412","284071","2017-10-17 14:04:34","3665"
"AUG2YR37BY9BK","caus_thomas_fire_v6","3RANCT1ZVFIOX8O3IXUQS0AM3CZUBA","0","0","0","25%","25%","10%","English","0","0","1","0","No","39881","88472","2017-10-17 14:04:38","3666"
"A391XEEZC675S","caus_thomas_fire_v6","3S3AMIZX3U6LQB5NA20WTKCGZX5CDQ","0","0","0","50%","100%","90%","English","1","1","1","1","No","50714","97513","2017-10-17 14:04:42","3667"
"A1KTPYX40PRLVW","caus_thomas_fire_v6","374TNBHA8BWSINAXBGO5QABYL0AYQN","0","0","0","50%","100%","100%","English","1","1","0","0","No","91776","155712","2017-10-17 14:04:47","3668"
" A2PNMIDHOYL2KN","caus_thomas_fire_v6","3HYA4D452RK5QDRH4F6G576FZJ82FI","0","0","0","50%","100%","10%","English","1","1","1","0","No","62245","111166","2017-10-17 14:04:53","3669"
"A33B85TN97HQ33","caus_thomas_fire_v6","3A4TN5196KJ22RAPWYJMK5RERPYCHZ","0","0","0","50%","100%","90%","English","1","1","1","1","Not sure","55009","99708","2017-10-17 14:04:57","3670"
"A3JT22BLG866CK","caus_thomas_fire_v6","3WYP994K17SZ85RDW7A7K5U7LZZ6YZ","0","0","0","50%","100%","90%","English","1","1","1","1","Yes","51516","92559","2017-10-17 14:04:59","3671"
"A2JWAD9JQNA5ON","caus_thomas_fire_v6","304SM51WA358IVWZTSZQDZSYIFESBS","0","0","0","50%","100%","10%","English","1","1","1","1","No","103382","138791","2017-10-17 14:05:01","3672"
"A3JT9LHWLFHNS8
","caus_thomas_fire_v6","3EQHHY4HQST33A6ZXIEWLZ93K8Y5GK","0","0","0","25%","100%","90%","Math","0","1","1","1","No","152320","188367","2017-10-17 14:05:02","3673"
"A2EABC3X5VMZ95","caus_thomas_fire_v6","3IAS3U3I0FHFDWF1ZDKKMHFUKLG2B0","0","0","0","50%","100%","10%","English","1","1","1","1","No","105672","142211","2017-10-17 14:05:07","3674"
"A2FVBM2LXBFCKP","caus_thomas_fire_v6","3NS0A6KXC491AOQO46LCA3GYL76GZ2","0","0","0","50%","100%","90%","Math","1","1","1","1","No","98576","174622","2017-10-17 14:05:09","3675"
"A229YGAMHVF77H","caus_thomas_fire_v6","3R8YZBNQ9HJ933EWO7Y5DXR1H12Q7F","0","0","0","100%","75%","90%","Math","0","0","1","1","No","77009","115180","2017-10-17 14:05:25","3676"
"A3EEMZ0K3T47QZ","caus_thomas_fire_v6","3QIYRE09Y3IAPKM2JZPF8T5J94F1N6","0","0","0","50%","100%","90%","Math","1","1","1","1","No","34429","62158","2017-10-17 14:05:25","3677"
